,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
5796,MVO.US,D,2020-02-14,000000,3.9005,3.9402,3.8559,3.9154,19221,0,3.9154,1.6091,8.1622,11.87,6.553100000000001,4.072525013982972,10.2609,7.954599999999999,10.2609,637.6794481387111
6616,PBT.US,D,2020-02-14,000000,3.47018,3.48825,3.4131,3.45212,207234.20004802,0,3.45212,2.32204,9.9935,17.09,7.67146,3.3037587638455843,14.76796,13.63788,14.76796,635.9907667395911
8556,TRQ.US,D,2020-02-14,000000,6.5,6.549,6.1,6.168,242629,0,6.168,3.6,16.45,26.37,12.85,3.569444444444444,22.77,20.202,22.77,632.4999999999999
6992,PRT.US,D,2020-02-14,000000,4.19136,4.23373,4.13227,4.18612,11307.666091913,0,4.18612,1.12943,6.72095,8.225,5.59152,4.950745066095287,7.0955699999999995,4.03888,7.0955699999999995,628.2434502359597
2016,CNQ.US,D,2020-02-14,000000,25.562,25.631,25.233,25.32,2902388,0,25.32,7.521,41.825,54.77,34.304,4.561095598989496,47.249,29.450000000000003,47.249,628.2276293046139
1888,CLR.US,D,2020-02-14,000000,26.648,26.752,25.595,25.763,6398213,0,25.763,9.3021,44.555,65.66,35.2529,3.789778652132314,56.3579,39.89699999999999,56.3579,605.8621171563411
7688,SIG.US,D,2020-02-14,000000,26.55,26.646,25.674,25.814,1531841,0,25.814,7.6639,86.592,53.55,78.9281,10.298686047573689,45.8861,27.735999999999997,45.8861,598.7304114093346
8356,TGLS.US,D,2020-02-14,000000,7.6783,7.8575,7.6635,7.7994,36867,0,7.7994,2.5319,26.13,17.55,23.5981,9.32031280856274,15.0181,9.7506,15.0181,593.1553378885422
7916,SPLP.US,D,2020-02-14,000000,10.84,11.06,10.5085,10.87,13115,0,10.87,6.19,42.0,42.89,35.81,5.78513731825525,36.7,32.02,36.7,592.8917609046849
4252,HRI.US,D,2020-02-14,000000,43.3191,43.7339,42.202,42.5183,72006.844778167,0,42.5183,13.5398,155.144,91.69,141.6042,10.458367184153385,78.1502,49.171699999999994,78.1502,577.1887324775846
5648,MRO.US,D,2020-02-14,000000,10.811,10.8509,10.2676,10.3174,19791201.70943,0,10.3174,3.46816,16.3192,22.55,12.851039999999998,3.705434582026203,19.08184,12.232600000000001,19.08184,550.2006827828012
8316,TEN.US,D,2020-02-14,000000,10.45,10.59,10.275,10.47,981614,0,10.47,2.69,11.3,17.45,8.610000000000001,3.2007434944237922,14.76,6.979999999999999,14.76,548.6988847583643
4284,HT_D.US,D,2020-02-14,000000,25.8,25.8,25.41,25.47,34617,0,25.47,3.15,22.9,20.36,19.75,6.26984126984127,17.21,-5.109999999999999,17.21,546.3492063492064
3212,EVH.US,D,2020-02-14,000000,11.45,11.51,11.2118,11.46,591528,0,11.46,4.85,27.67,31.12,22.82,4.705154639175258,26.270000000000003,19.66,26.270000000000003,541.6494845360826
1712,CEQP.US,D,2020-02-14,000000,21.004,21.667,20.548,21.613,725698,0,21.613,3.8279,26.404,24.52,22.5761,5.897776848924998,20.6921,2.907,20.6921,540.5600982261815
7728,SJT.US,D,2020-02-14,000000,1.8612,1.90022,1.81444,1.85733,96605.575991442,0,1.85733,1.40766,5.75645,8.98,4.34879,3.0893752752795423,7.5723400000000005,7.12267,7.5723400000000005,537.9381384709377
1416,BTU.US,D,2020-02-14,000000,7.788,7.85,7.38,7.45,1130860,0,7.45,3.31,10.07,21.04,6.76,2.0422960725075527,17.73,13.59,17.73,535.6495468277946
4024,HAL.US,D,2020-02-14,000000,21.561,21.658,21.164,21.438,8683829,0,21.438,4.9456,22.788,31.43,17.8424,3.6077321255257204,26.4844,9.992,26.4844,535.5143966353932
6352,NXE.US,D,2020-02-14,000000,1.19,1.19,1.13,1.15,301896,0,1.15,0.591,4.37,3.73,3.779,6.39424703891709,3.1390000000000002,2.58,3.1390000000000002,531.1336717428088
1308,BPT.US,D,2020-02-14,000000,6.0051,6.1202,5.9642,6.0298,115277,0,6.0298,3.3845,3.3043,21.15,-0.08020000000000005,-0.023696262372580896,17.7655,15.120199999999999,17.7655,524.9076673068399
1448,BW.US,D,2020-02-14,000000,4.54,4.64,4.54,4.54,61790,0,4.54,0.9821,9.02,5.99,8.0379,8.18440077385195,5.0079,1.4500000000000002,5.0079,509.91752367376034
9156,WCC.US,D,2020-02-14,000000,48.345,48.93,47.875,48.35,867934,0,48.35,17.64,131.59,105.83,113.95,6.459750566893424,88.19,57.48,88.19,499.9433106575964
5784,MUR.US,D,2020-02-14,000000,20.6666,20.6785,20.1453,20.395,1442948.3231301,0,20.395,5.09432,25.8501,30.39,20.75578,4.07429843433471,25.29568,9.995000000000001,25.29568,496.5467422541184
6544,OXY.US,D,2020-02-14,000000,40.633,40.759,39.842,40.14,6634244,0,40.14,10.172,28.921,60.44,18.749,1.8431970114038534,50.268,20.299999999999997,50.268,494.1801022414471
4212,HOV.US,D,2020-02-14,000000,28.84,28.975,27.2551,27.59,154970,0,27.59,7.82,127.29,46.2,119.47,15.277493606138107,38.38,18.610000000000003,38.38,490.7928388746803
1664,CDR.US,D,2020-02-14,000000,16.831,16.95,16.534,16.713,35184,0,16.713,4.8764,25.036,28.8,20.1596,4.134115330981872,23.9236,12.087,23.9236,490.5996226724633
2724,DY.US,D,2020-02-14,000000,43.53,44.61,43.19,44.46,229084,0,44.46,15.98,93.76,94.08,77.78,4.867334167709637,78.1,49.62,78.1,488.73591989987483
6200,NRT.US,D,2020-02-14,000000,3.767,3.97833,3.72602,3.97833,41675.60379647,0,3.97833,2.09899,9.59475,12.34,7.495759999999999,3.571127065874539,10.24101,8.36167,10.24101,487.9018003897111
9300,WOW.US,D,2020-02-14,000000,7.45,7.49,7.36,7.45,186406,0,7.45,3.23,21.52,18.72,18.29,5.662538699690402,15.489999999999998,11.27,15.489999999999998,479.5665634674922
4704,JILL.US,D,2020-02-14,000000,5.45,5.5,5.1,5.15,83613,0,5.15,3.1555,19.18,18.24,16.0245,5.078276025986373,15.084499999999998,13.089999999999998,15.084499999999998,478.03834574552366
1556,CALX.US,D,2020-02-14,000000,9.95,10.39,9.9353,10.22,568246,0,10.22,6.1,79.97,34.96,73.87,12.109836065573772,28.86,24.740000000000002,28.86,473.11475409836066
3228,EVRI.US,D,2020-02-14,000000,13.448,13.67,13.3419,13.56,852487,0,13.56,2.92,21.35,16.69,18.43,6.311643835616438,13.770000000000001,3.130000000000001,13.770000000000001,471.5753424657535
9180,WES.US,D,2020-02-14,000000,13.005,13.111,12.663,13.03,2027957,0,13.03,4.2916,21.528,24.52,17.2364,4.016310932985367,20.2284,11.49,20.2284,471.3486811445615
4288,HT_E.US,D,2020-02-14,000000,25.56,25.6752,25.56,25.64,2529,0,25.64,3.6,23.07,20.565,19.47,5.408333333333333,16.965,-5.074999999999999,16.965,471.24999999999994
2312,CWH.US,D,2020-02-14,000000,14.211,14.387,14.092,14.298,384601,0,14.298,3.8645,39.586,21.91,35.7215,9.243498512097295,18.0455,7.612,18.0455,466.9556216845646
5864,NBR.US,D,2020-02-14,000000,111.9,111.9,107.01,110.92,83158,0,110.92,23.15,81.09,130.95,57.940000000000005,2.50280777537797,107.79999999999998,20.029999999999987,107.79999999999998,465.6587473002159
2468,DFIN.US,D,2020-02-14,000000,9.88,10.055,9.88,10.02,186979,0,10.02,5.33,47.14,29.87,41.81,7.8442776735459665,24.54,19.85,24.54,460.41275797373356
3968,GSL.US,D,2020-02-14,000000,7.17269,7.37874,7.01834,7.36931,24802.528560561,0,7.36931,2.90266,22.3072,16.24,19.40454,6.68508884953801,13.337339999999998,8.87069,13.337339999999998,459.4868155416066
8636,TTM.US,D,2020-02-14,000000,11.86,11.89,11.69,11.71,717673,0,11.71,4.72,32.09,26.32,27.370000000000005,5.798728813559324,21.6,14.61,21.6,457.6271186440678
420,AM.US,D,2020-02-14,000000,3.3657,3.4094,3.1631,3.192,8505035,0,3.192,1.6647,9.254,9.25,7.5893,4.558959572295308,7.5853,6.058,7.5853,455.65567369496006
7952,SQM.US,D,2020-02-14,000000,29.902,30.447,29.165,29.233,905154,0,29.233,15.338,50.387,84.67,35.049,2.2851088799061157,69.33200000000001,55.437,69.33200000000001,452.0276437605947
6088,NMM.US,D,2020-02-14,000000,10.434,10.626,10.116,10.116,98257,0,10.116,4.1719,25.011,22.95,20.8391,4.995110141662072,18.7781,12.834,18.7781,450.1090630168508
6476,OMI.US,D,2020-02-14,000000,6.6188,6.7046,6.4477,6.6796,640456,0,6.6796,5.9046,43.5,32.38,37.5954,6.3671374860278425,26.4754,25.700400000000002,26.4754,448.38600413237134
1292,BOOT.US,D,2020-02-14,000000,33.67,34,33.07,33.22,1009046,0,33.22,12.53,123.05,68.53,110.52,8.820430965682363,56.0,35.31,56.0,446.927374301676
7680,SI.US,D,2020-02-14,000000,16.49,16.49,16.25,16.31,64871,0,16.31,9.71,148.2,53.04,138.48999999999998,14.262615859938204,43.33,36.730000000000004,43.33,446.2409886714727
8444,TMST.US,D,2020-02-14,000000,5.86,5.86,5.72,5.84,155208,0,5.84,3.4,16.5,18.43,13.1,3.8529411764705883,15.03,12.59,15.03,442.05882352941177
9152,WBT.US,D,2020-02-14,000000,14.18,14.28,14.02,14.06,674588,0,14.06,4.41,23.77,23.88,19.36,4.390022675736962,19.47,9.819999999999999,19.47,441.4965986394558
5432,MGY.US,D,2020-02-14,000000,9.3967,9.554,9.2489,9.514,2237290,0,9.514,3.9202,18.69,21.05,14.769800000000002,3.7676138972501407,17.1298,11.536000000000001,17.1298,436.96239987755723
